file_name,file_size,compressed_size,time_taken_ns
16ade36e-d993-4d65-8cfd-c5d94ceef5d3.wav,197500,197688,66193104.000000000
16c6d8eb-d79e-4f4e-954a-f2f1c4110264.wav,197596,197784,61573982.000000000
16fb787d-3d09-46fc-9560-ff82641112d2.wav,197408,197596,66843987.000000000
16fdea36-87b8-40a9-8d95-6ccf790837a1.wav,197462,197650,64524889.000000000
172741e6-a29e-45d4-81d0-e45d525fdeec.wav,197570,197758,63474894.000000000
174a80d5-dc29-4068-8108-39404d24a6fb.wav,197470,197658,69685936.000000000
178943a5-c3b3-48f6-9da6-c4b8047c6bf2.wav,197414,197602,65319061.000000000
17a7fd51-57f1-4948-988c-69ba8d4bf24b.wav,197482,197670,78155041.000000000
17dddbf0-b621-49e0-adaa-85cefd4a9478.wav,197498,197686,72014809.000000000
184d8ddc-e6ea-46df-abe6-193f03d94e5e.wav,198010,198198,59971810.000000000
18938028-59c1-401f-9aca-ae836d963335.wav,197444,197632,62826156.000000000
189fd9b7-d128-4d50-8448-e7d9a019c4f2.wav,197374,197562,60061932.000000000
18bd387e-7dbb-45e1-98f7-a0fa5b980d61.wav,197542,197730,60213088.000000000
199d55be-23a8-4230-90ef-36673a23a3bf.wav,197438,197626,63955069.000000000
1a971a8c-cb8d-48ef-aad2-f7258947726c.wav,198082,198270,60914040.000000000
1b517404-93f9-409f-9dca-18ff2e6d9885.wav,197562,197750,67138910.000000000
1b7285f1-2768-4979-93c1-045bb6236611.wav,197290,197478,59876204.000000000
1c276f5f-44f9-4ef4-843c-972e4c0c1ee3.wav,198056,198244,69246054.000000000
1c286f7b-612f-4883-934a-186859617a04.wav,197468,197656,62119007.000000000
1c37fd0e-1c6b-4d84-9108-1adbf8ae3f91.wav,197398,197586,60405015.000000000
1c6bf8b8-7bef-439d-ab17-cd338288e977.wav,197450,197638,60181141.000000000
